date,t,up,up_pred,price
2009-08-28,6200,0,1,9544.200195
2009-08-31,6201,1,1,9496.280273
2009-09-01,6202,1,1,9310.599609
2009-09-02,6203,1,1,9280.669922
2009-09-03,6204,1,1,9344.610352
2009-09-04,6205,1,0,9441.269531
2009-09-08,6206,1,0,9497.339844
2009-09-09,6207,1,0,9547.219727
2009-09-10,6208,1,0,9627.480469
2009-09-11,6209,1,1,9605.410156
2009-09-14,6210,1,1,9626.799805
2009-09-15,6211,1,1,9683.410156
2009-09-16,6212,0,1,9791.709961
2009-09-17,6213,0,1,9783.919922
2009-09-18,6214,0,1,9820.200195
2009-09-21,6215,1,1,9778.860352
2009-09-22,6216,0,1,9829.870117
2009-09-23,6217,0,1,9748.549805
2009-09-24,6218,0,0,9707.44043
2009-09-25,6219,0,1,9665.19043
2009-09-28,6220,0,1,9789.360352
2009-09-29,6221,0,0,9742.200195
2009-09-30,6222,1,0,9712.280273
2009-10-01,6223,1,1,9509.280273
2009-10-02,6224,1,1,9487.669922
2009-10-05,6225,1,1,9599.75
2009-10-06,6226,1,1,9731.25
2009-10-07,6227,1,1,9725.580078
2009-10-08,6228,1,0,9786.870117
2009-10-09,6229,1,0,9864.94043
2009-10-12,6230,1,1,9885.799805
2009-10-13,6231,1,1,9871.05957
2009-10-14,6232,0,1,10015.860352
2009-10-15,6233,1,1,10062.94043
2009-10-16,6234,0,1,9995.910156
2009-10-19,6235,0,1,10092.19043
2009-10-20,6236,0,1,10041.480469
2009-10-21,6237,0,1,9949.360352
2009-10-22,6238,0,1,10081.30957
2009-10-23,6239,0,0,9972.179688
2009-10-26,6240,0,0,9867.959961
2009-10-27,6241,0,1,9882.169922
2009-10-28,6242,1,1,9762.69043
2009-10-29,6243,1,0,9962.580078
2009-10-30,6244,1,1,9712.730469
2009-11-02,6245,1,1,9789.44043
2009-11-03,6246,1,1,9771.910156
2009-11-04,6247,1,0,9802.139648
2009-11-05,6248,1,0,10005.959961
2009-11-06,6249,1,1,10023.419922
2009-11-09,6250,1,1,10226.94043
2009-11-10,6251,1,0,10246.969727
2009-11-11,6252,1,1,10291.259766
2009-11-12,6253,1,1,10197.469727
2009-11-13,6254,1,1,10270.469727
2009-11-16,6255,1,1,10406.959961
2009-11-17,6256,0,0,10437.419922
2009-11-18,6257,1,1,10426.30957
